Teorema,Prova
Ax ((P(x)->Q(x))&(Q(x)->P(x))) |- Ax ((~P(x)->~Q(x))&(~Q(x)->~P(x))),"
Prova:""""

1. Ax((P(x) -> Q(x)) & (Q(x) -> P(x))) pre
2. { a
3.   (P(a) -> Q(a)) & (Q(a) -> P(a)) Ae 1
4.   P(a) -> Q(a) &e 3
5.   Q(a) -> P(a) &e 3
6.   { ~Q(a) hip
7.     { P(a) hip
8.       Q(a) ->e 7,4
9.       @ ~e 6,8
}
10.   ~P(a) ~i 7-9
}
11. ~Q(a) -> ~P(a) ->i 6-10
12. { ~P(a) hip
13.   { Q(a) hip
14.     P(a) ->e 13,5
15.     @ ~e 12,14
}
16.   ~Q(a) ~i 13-15
}
17. ~P(a) -> ~Q(a) ->i 12-16
18. (~P(a) -> ~Q(a)) & (~Q(a) -> ~P(a)) &i 17,11
}
19. Ax((~P(x) -> ~Q(x)) & (~Q(x) -> ~P(x))) Ai 2-18

""""
"
|- Ex (P(x)|Q(x))->(Ex P(x)|Ex Q(x)),"
Prova:""""

1.  { Ex(P(x) | Q(x))                             hip
2.     { a P(a) | Q(a)                            hip
3.        { P(a)                                  hip
4.            Ex P(x)                             Ei 3
5.            Ex P(x) | Ex Q(x)                   |i 4
           }
6.        { Q(a)                                  hip
7.            Ex Q(x)                             Ei 6
8.            Ex P(x) | Ex Q(x)                   |i 7
           }
9.         Ex P(x) | Ex Q(x)                      |e 2,3-5,6-8
       }
10.    Ex P(x) | Ex Q(x)                          Ee 1,2-9
     }
11.  Ex(P(x) | Q(x)) -> (Ex P(x) | Ex Q(x))       ->i 1-10

""""
"
(P(a)->Q(a))&Ax (P(x)->Q(x)) |- P(b)->Q(b),"
Prova:""""

1. (P(a) -> Q(a)) & Ax(P(x) -> Q(x))   pre
2. P(a) -> Q(a)                       &e 1
3. Ax(P(x) -> Q(x))                   &e 1
4. { P(b)                              hip
5.   P(b) -> Q(b)                     Ae 3
6.   Q(b)                              ->e 4,5
   }
7. P(b) -> Q(b)                        ->i 4-6

""""
"
"Ex (P(x)&Q(x)), Ax (P(x)->R(x)) |- Ex R(x)","
Prova:""""

1. Ex(P(x) & Q(x))   pre
2. Ax(P(x) -> R(x))  pre
3. { a (P(a) & Q(a)) hip
4.   P(a)           &e 3
5.   P(a) -> R(a)   Ae 2
6.   R(a)           ->e 4,5
7.   ExR(x)         Ei 6
   }
8. ExR(x)           Ee 1,3-7

""""
"
"Ax (P->Q(x)), P |- Ax Q(x)","
Prova:""""

1. Ax (P -> Q(x)) pre
2. P pre
3. { a
4.   P -> Q(a) Ae 1
5.   Q(a) ->e 2,4
}
6. Ax Q(x) Ai 3-5

""""
"
"Ax P(x)->B, Ax P(x), B->Q(b) |- Ex Q(x)","
Prova:""""

1.	Ax P(x) -> B 	                     pre
2.	Ax P(x)		                      pre
3.	P(b)				                      Ae 2
4.	B					                        ->e 1,2
5.     B -> Q(b)              pre
6.     Q(b)                   ->e 4,5
7.     ExQ(x)                 Ei 6

""""
"
Ax ((P(x)->Q(x))&(Q(x)->P(x))) |- Ax P(x)->Ax Q(x),"
Prova:""""

1. Ax((P(x) -> Q(x)) & (Q(x) -> P(x))) pre
2. { Ax P(x) hip
3. { a
4.   (P(a) -> Q(a)) & (Q(a) -> P(a)) Ae 1
5.   P(a) -> Q(a) &e 4
6.   P(a) Ae 2
7.   Q(a) ->e 6,5
}
8. Ax Q(x) Ai 3-7
}
9. Ax P(x) -> Ax Q(x) ->i 2-8

""""
"
|- Ex (P(x)|Q)->(Ex P(x)|Q),"
Prova:""""

1.  {	Ex(P(x) | Q)					hip
2.		{ a 	P(a) | Q				hip
3.		{	P(a)						hip
4.			Ex P(x)					Ei 3
5.			Ex P(x) | Q				|i 4
			}
6.		{	Q							hip
7.			Ex P(x) | Q				|i 6
		}
8.		Ex P(x) | Q					|e 2, 3-5, 6-7
	}
9.	Ex P(x) | Q						Ee 1, 2-8
	}
10. Ex (P(x) | Q) -> (Ex P(x) | Q) 	->i 1-9

""""
"
"Ax (P(x)->S(x)), Ay (P(y)->T(y)) |- Az (P(z)->(S(z)&T(z)))","
Prova:""""

1. Ax(P(x) -> S(x))             pre
2. Ay(P(y) -> T(y))             pre
3. { a 
4.     P(a) -> S(a)             Ae 1
5.     P(a) -> T(a)             Ae 2
6.     { P(a)                   hip
7.         S(a)                 ->e 6,4
8.         T(a)                 ->e 6,5
9.         S(a) & T(a)          &i 7,8
			}
10.    P(a) -> S(a) & T(a)      ->i 6-9
	}
11. Az(P(z) -> S(z) & T(z))    Ai 3-10

""""
"
|- P(x)->(P(x)|Q(x)),"
Prova:""""

1. 	{ 	P(x)					hip
2.		P(x) | Q(x)			|i 1
		}
3.	 P(x) -> (P(x) | Q(x))	->i 1-2

""""
"
|- ~~P(x)->P(x),"
Prova:""""

1. 	{ 	~ ~P(x)				hip
2. 		{ 	~P(x)				hip
3.  			@					~e 1,2
			}
4.	  	P(x)					raa 2-3
		}
5.	 ~ ~P(x) -> P(x)		->i 1-4

""""
"
|- P(x)->~~P(x),"
Prova:""""

1. 	{ 	P(x)					hip
2. 		{ 	~P(x)				hip
3.  			@					    ~e 1,2
			}
4.	 	~ ~P(x)				~i 2-3
		}
5.	 P(x) -> ~ ~P(x)		->i 1-4

""""
"
|- Ax (P(x)->Q(x))->(Ex P(x)->Ex Q(x)),"
Prova:""""

1.	{ Ax (P(x) -> Q(x))		hip
2.		{ Ex P(x)				hip
3.			{ a	P(a)			hip
4.				(P(a) -> Q(a))	Ae 1
5. 				Q(a)			->e 4,3
6. 				Ex Q(x)			Ei 5
			}
7. 			Ex Q(x)			Ee 2,3-6
		}
8. 	Ex P(x) -> Ex Q(x)		->i 2-7
}
9.	Ax (P(x) -> Q(x)) -> (Ex P(x) -> Ex Q(x))	->i 1-8

""""
"
|- Ax (P(x)&Q(x))->(Ax P(x)&Ax Q(x)),"
Prova:""""

1. { Ax(P(x) & Q(x)) hip
2.   { a
3.     P(a) & Q(a) Ae 1
4.     P(a) &e 3
   }
5.   Ax P(x) Ai 2-4
6.   { a
7.     P(a) & Q(a) Ae 1
8.     Q(a) &e 7
    }
9.   Ax Q(x) Ai 6-8
10.  Ax P(x) & Ax Q(x) &i 5,9
 }
11. Ax(P(x) & Q(x)) -> (Ax P(x) & Ax Q(x)) ->i 1-10

""""
"
|- ~Ex (P(x)&~P(x)),"
Prova:""""

1. { Ex(P(x) & ~P(x)) hip
2.   { a P(a) & ~P(a) hip
3.     P(a) &e 2
4.     ~P(a) &e 2
5.     @ ~e 3,4
   }
6.  @ Ee 1,2-5
}
7. ~Ex(P(x) & ~P(x)) ~i 1-6

""""
"
|- Ax (P(x)->~Q(x))->~Ex (P(x)&Q(x)),"
Prova:""""

1. { Ax(P(x) -> ~Q(x)) hip
2.   { Ex(P(x) & Q(x)) hip
3.     { a P(a) & Q(a) hip
4.       P(a) -> ~Q(a) Ae 1
5.       P(a) &e 3
6.       ~Q(a) ->e 4,5
7.       Q(a) &e 3
8.       @ ~e 6,7
      }
9.    @ Ee 2,3-8
   }
10.  ~Ex(P(x) & Q(x)) ~i 2-9
}
11. Ax(P(x) -> ~Q(x)) -> ~Ex(P(x) & Q(x)) ->i 1-10

""""
"
|- Ax (P(x)|Q(x))->(Ax ~P(x)->Ax Q(x)),"
Prova:""""

1. { Ax(P(x) | Q(x)) hip
2.   { Ax ~P(x) hip
3.     { a
4.       P(a) | Q(a) Ae 1
5.       { P(a) hip
6.         ~P(a) Ae 2
7.         @ ~e 5,6
8.	   Q(a) @e 7
        }
9.       { Q(a) hip
10.        Q(a) copie 9
        }
11.      Q(a) |e 4,5-8,9-10
      }
12.    Ax Q(x) Ai 3-11
    }
13.  Ax ~P(x) -> Ax Q(x) ->i 2-12
}
14. Ax(P(x) | Q(x)) -> (Ax ~P(x) -> Ax Q(x)) ->i 1-13

""""
"
|- Ex (P(x)->Ay Q(y))->(Ax P(x)->Ay Q(y)),"
Prova:""""

1. { Ex(P(x) -> Ay Q(y)) hip
2.   { Ax P(x) hip
3.     { a P(a) -> Ay Q(y) hip
4.       P(a) Ae 2
5.       Ay Q(y) ->e 3,4
6.       { b
7.         Q(b) Ae 5
        }
8.       Ay Q(y) Ai 6-7
       }
9.    Ay Q(y) Ee 1,3-8
    }
10.  (Ax P(x) -> Ay Q(y)) ->i 2-9
}
11.  (Ex(P(x) -> Ay Q(y)) -> (Ax P(x) -> Ay Q(y))) ->i 1-10

""""
"
|- ~Ex (P(x)&~Q(x))->Ax (P(x)->Q(x)),"
Prova:""""

1. { ~Ex (P(x) & ~Q(x)) hip
2.  { a
3.   { P(a) hip
4.    { ~Q(a) hip
5.     P(a) & ~Q(a) &i 3, 4
6.     Ex (P(x) & ~Q(x)) Ei 5
7.     @ ~e 6, 1
       }
8.    Q(a) raa 4-7
      }
9.   P(a) -> Q(a) ->i 3-8
   }
10.  Ax (P(x) -> Q(x)) Ai 2-9
}
11. ~Ex (P(x) & ~Q(x)) -> Ax (P(x) -> Q(x)) ->i 1-10

""""
"
|- Ax (P(x)->(Q(x)&R(x)))->(Ax P(x)->Ax Q(x)),"
Prova:""""

1. { Ax (P(x) -> (Q(x) & R(x))) hip
2.   { Ax P(x) hip
3.     { a
4.       P(a) -> (Q(a) & R(a)) Ae 1
5.       P(a) Ae 2
6.       Q(a) & R(a) ->e 4,5
7.       Q(a) &e 6
      }
8.    Ax Q(x) Ai 3-7
   }
9.   Ax P(x) -> Ax Q(x) ->i 2-8
}
10. Ax (P(x) -> (Q(x) & R(x))) -> (Ax P(x) -> Ax Q(x)) ->i 1-9

""""
"
|- Ax (Ey P(y)->Q(x))->(Ey P(y)->Ax Q(x)),"
Prova:""""

1. { Ax (Ey P(y) -> Q(x)) hip
2.   { Ey P(y) hip
3.     { a
4.       Ey P(y) -> Q(a) Ae 1
5.       Q(a) ->e 2,4
      }
6.     Ax Q(x) Ai 3-5
   }
7.  Ey P(y) -> Ax Q(x) ->i 2-6
}
8. Ax (Ey P(y) -> Q(x)) -> (Ey P(y) -> Ax Q(x)) ->i 1-7

""""
"
|- (Ax P(x)|Ax Q(x))->Ax (P(x)|Q(x)),"
Prova:""""

1. { Ax P(x) | Ax Q(x) hip
2.   { Ax P(x) hip
3.     { a
4.        P(a) Ae 2
5.        P(a) | Q(a) |i 4
       }
6.     Ax (P(x) | Q(x)) Ai 3-5
   }
7.   { Ax Q(x) hip
8.     { a
9.       Q(a) Ae 7
10.      P(a) | Q(a) |i 9
       }
11.     Ax (P(x) | Q(x)) Ai 8-10
   }
12.   Ax (P(x) | Q(x)) |e 1, 2-6, 7-11
}
13. (Ax P(x) | Ax Q(x)) -> Ax (P(x) | Q(x)) ->i 1-12

""""
"
|- Ex (P(x)&Q(x))->Ex P(x),"
Prova:""""

1. { Ex (P(x) & Q(x)) hip
2.  { a P(a) & Q(a) hip
3.     P(a) &e 2
4.     Ex P(x) Ei 3
   }
5.   Ex P(x) Ee 1, 2-4
}
6. Ex (P(x) & Q(x)) -> Ex P(x) ->i 1-5

""""
"
"Ax (P(x)->Q(x)), Ax P(x) |- Ax Q(x)","
Prova:""""

1. Ax(P(x) -> Q(x)) pre
2. Ax P(x) pre
3. { a
4.   P(a) Ae 2
5.   P(a) -> Q(a) Ae 1
6.   Q(a) ->e 5,4
}
7. Ax Q(x) Ai 3-6

""""
"
"Ax (P(x)->Q(x)), Ax (Q(x)->R(x)) |- Ex (P(x)&S(x))->Ex (R(x)&S(x))","
Prova:""""

1. Ax(P(x) -> Q(x)) pre
2. Ax(Q(x) -> R(x)) pre
3. { Ex(P(x) & S(x)) hip
4. { a P(a) & S(a) hip
5.   P(a) &e 4
6.   S(a) &e 4
7.   P(a) -> Q(a) Ae 1
8.   Q(a) ->e 5,7
9.   Q(a) -> R(a) Ae 2
10.  R(a) ->e 8,9
11.  R(a) & S(a) &i 10,6
12.  Ex(R(x) & S(x)) Ei 11
}
13. Ex(R(x) & S(x)) Ee 3,4-12
}
14. Ex(P(x) & S(x)) -> Ex(R(x) & S(x)) ->i 3-13

""""
"
P->Ax Q(x) |- Ax (P->Q(x)),"
Prova:""""

1. P -> Ax Q(x) pre
2. { a
3.   { P hip
4.     Ax Q(x) ->e 1,3
5.     Q(a) Ae 4
}
6.   P -> Q(a) ->i 3-5
}
7. Ax (P -> Q(x)) Ai 2-6

""""
"
"Ex (P(x)->Q(x)), Ax P(x) |- Ex Q(x)","
Prova:""""

1. Ex(P(x) -> Q(x)) pre
2. Ax P(x) pre
3. { a P(a) -> Q(a) hip
4.   P(a) Ae 2
5.   Q(a) ->e 3, 4
6.   Ex Q(x) Ei 5
}
7. Ex Q(x) Ee 1, 3-6

""""
"
~Ex (P(x)&Q(x)) |- Ax (P(x)->~Q(x)),"
Prova:""""

1. ~Ex(P(x) & Q(x)) pre
2. { a
3.   { P(a) hip
4.     { Q(a) hip
5.       P(a) & Q(a) &i 3, 4
6.       Ex(P(x) & Q(x)) Ei 5
7.       @ ~e 6, 1
}
8.     ~Q(a) ~i 4-7
}
9.   P(a) -> ~Q(a) ->i 3-8
}
10. Ax(P(x) -> ~Q(x)) Ai 2-9

""""
"
"Ex P(x), Ax Ay (P(x)->Q(y)) |- Ay Q(y)","
Prova:""""

1. ExP(x) pre
2. AxAy(P(x)->Q(y)) pre
3. { b
4.   { a P(a) hip
5.     Ay(P(a)->Q(y)) Ae 2
6.     P(a)->Q(b) Ae 5
7.     Q(b) ->e 4,6
}
8.   Q(b) Ee 1,4-7
}
9. AyQ(y) Ai 3-8

""""
"
"Ex (F(x)&G(x)), Ax (H(x)->~G(x)) |- Ex (F(x)&~H(x))","
Prova:""""

1. Ex(F(x) & G(x)) pre
2. Ax(H(x) -> ~G(x)) pre
3. { a F(a) & G(a) hip
4.   F(a) &e 3
5.   G(a) &e 3
6.   H(a) -> ~G(a) Ae 2
7.   { H(a) hip
8.     ~G(a) ->e 7,6
9.     @ ~e 5,8
}
10.  ~H(a) ~i 7-9
11.  F(a) & ~H(a) &i 4,10
12.  Ex(F(x) & ~H(x)) Ei 11
}
13. Ex(F(x) & ~H(x)) Ee 1,3-12

""""
"
Ex (P(x)&Q(x)) |- Ex P(x)&Ex Q(x),"
Prova:""""

1. Ex(P(x)&Q(x)) pre
2. { a P(a) & Q(a) hip
3.   P(a) &e 2
4.   Ex P(x) Ei 3
}
5. Ex P(x) Ee 1,2-4
6. { a P(a) & Q(a) hip
7.   Q(a) &e 6
8.   Ex Q(x) Ei 7
}
9. Ex Q(x) Ee 1,6-8
10. Ex P(x) & Ex Q(x) &i 5,9

""""
"
"Ex P(x), Ax (P(x)->Q) |- Q","
Prova:""""

1. Ex P(x) pre
2. Ax(P(x) -> Q) pre
3. { a P(a) hip
4.   P(a) -> Q Ae 2
5.   Q ->e 4,3
}
6. Q Ee 1, 3-5

""""
"
Ax (P(x)&Q(x)) |- Ax Q(x),"
Prova:""""

1. Ax(P(x) & Q(x)) pre
2. { a
3.   P(a) & Q(a) Ae 1
4.   Q(a) &e 3
}
5. Ax Q(x) Ai 2-4

""""
"
P&Ax Q(x) |- Ax (P&Q(x)),"
Prova:""""

1. P & Ax Q(x) pre
2. P &e 1
3. Ax Q(x) &e 1
4. { a
5.   Q(a) Ae 3
6.   P & Q(a) &i 2,5
}
7. Ax(P & Q(x)) Ai 4-6

""""
"
Ax (P(x)->Q(x))&Ax P(x) |- Ax Q(x),"
Prova:""""

1. Ax (P(x) -> Q(x)) & Ax P(x) pre
2. Ax (P(x) -> Q(x)) &e 1
3. Ax P(x) &e 1
4. { a
5.   P(a) -> Q(a) Ae 2
6.   P(a) Ae 3
7.   Q(a) ->e 5,6
}
8. Ax Q(x) Ai 4-7

""""
"
Ax P(x) |- Ax (P(x)|Q(x)),"
Prova:""""

1. Ax P(x) pre
2. { a
3.   P(a) Ae 1
4.   P(a) | Q(a) |i 3
}
5. Ax (P(x) | Q(x)) Ai 2-4

""""
"
Ax (P(x)&Q) |- Ax P(x),"
Prova:""""

1. Ax(P(x) & Q) pre
2. { a
3.   P(a) & Q Ae 1
4.   P(a) &e 3
}
5. Ax P(x) Ai 2-4

""""
"
Ax (~P(x)|~Q(x)) |- ~Ex (P(x)&Q(x)),"
Prova:""""

1. Ax(~P(x) | ~Q(x)) pre
2. { Ex(P(x) & Q(x)) hip
3.   { a P(a) & Q(a) hip
4.     P(a) &e 3
5.     Q(a) &e 3
6.     ~P(a) | ~Q(a) Ae 1
7.     { ~P(a) hip
8.       @ ~e 4,7
}
9.     { ~Q(a) hip
10.      @ ~e 5,9
}
11.    @ |e 6, 7-8, 9-10
}
12.  @ Ee 2, 3-11
}
13. ~Ex(P(x) & Q(x)) ~i 2-12

""""
"
~Ex (P(x)|Q(x)) |- Ax (~P(x)&~Q(x)),"
Prova:""""

1. ~Ex(P(x) | Q(x)) pre
2. { a
3.   { P(a) hip
4.     P(a) | Q(a) |i 3
5.     Ex(P(x) | Q(x)) Ei 4
6.     @ ~e 5,1
}
7.   ~P(a) ~i 3-6
8.   { Q(a) hip
9.     P(a) | Q(a) |i 8
10.    Ex(P(x) | Q(x)) Ei 9
11.    @ ~e 10,1
}
12.  ~Q(a) ~i 8-11
13.  ~P(a) & ~Q(a) &i 7,12
}
14. Ax(~P(x) & ~Q(x)) Ai 2-13

""""
"
Ax ((P(x)->Q(x))&(Q(x)->P(x))) |- Ax (P(x)->Q(x)),"
Prova:""""

1. Ax((P(x) -> Q(x)) & (Q(x) -> P(x))) pre
2. { a
3.   (P(a) -> Q(a)) & (Q(a) -> P(a)) Ae 1
4.   P(a) -> Q(a) &e 3
}
5. Ax(P(x) -> Q(x)) Ai 2-4

""""
"
"Ex Ay P(x,y) |- Ay Ex P(x,y)","
Prova:""""

1. Ex Ay P(x,y) pre
2. { b
3.   { a Ay P(a,y) hip
4.     P(a,b) Ae 3
5.     Ex P(x,b) Ei 4
}
6.   Ex P(x,b) Ee 1, 3-5
}
7. Ay Ex P(x,y) Ai 2-6

""""
"
"Ax (P(x)->Q(x)), ~Ex Q(x) |- ~Ex P(x)","
Prova:""""

1. Ax(P(x) -> Q(x)) pre
2. ~Ex Q(x) pre
3. { Ex P(x) hip
4.   { a P(a) hip
5.     P(a) -> Q(a) Ae 1
6.     Q(a) ->e 5,4
7.     Ex Q(x) Ei 6
8.     @ ~e 7,2
}
9.   @ Ee 3, 4-8
}
10. ~Ex P(x) ~i 3-9

""""
"
"Ax (P(x)->Q(x)), Ax (Q(x)->R(x)), Ex P(x) |- Ex R(x)","
Prova:""""

1. Ax(P(x) -> Q(x)) pre
2. Ax(Q(x) -> R(x)) pre
3. Ex P(x) pre
4. { a P(a) hip
5.   P(a) -> Q(a) Ae 1
6.   Q(a) ->e 5,4
7.   Q(a) -> R(a) Ae 2
8.   R(a) ->e 7,6
9.   Ex R(x) Ei 8
}
10. Ex R(x) Ee 3, 4-9

""""
"
Ex ~(P(x)&Q(x)) |- Ex (~P(x)|~Q(x)),"
Prova:""""

1. Ex~(P(x) & Q(x)) pre
2. { a ~(P(a) & Q(a)) hip
3.   { ~(~P(a) | ~Q(a)) hip
4.     { ~P(a) hip
5.       ~P(a) | ~Q(a) |i 4
6.       @ ~e 5,3
}
7.     P(a) raa 4-6
8.     { ~Q(a) hip
9.       ~P(a) | ~Q(a) |i 8
10.      @ ~e 9,3
}
11.    Q(a) raa 8-10
12.    P(a) & Q(a) &i 7,11
13.    @ ~e 12,2
}
14.  ~P(a) | ~Q(a) raa 3-13
15.  Ex(~P(x) | ~Q(x)) Ei 14
}
16. Ex(~P(x) | ~Q(x)) Ee 1, 2-15

""""
"
Ax ~(P(x)|Q(x)) |- Ax ~P(x)&Ax ~Q(x),"
Prova:""""

1. Ax~(P(x) | Q(x)) pre
2. { a
3.   ~(P(a) | Q(a)) Ae 1
4.   { P(a) hip
5.     P(a) | Q(a) |i 4
6.     @ ~e 5,3
}
7.   ~P(a) ~i 4-6
}
8. Ax~P(x) Ai 2-7
9. { b
10.  ~(P(b) | Q(b)) Ae 1
11.  { Q(b) hip
12.    P(b) | Q(b) |i 11
13.    @ ~e 12,10
}
14.  ~Q(b) ~i 11-13
}
15. Ax~Q(x) Ai 9-14
16. Ax~P(x) & Ax~Q(x) &i 8,15

""""
"
Ax (P(x)->(Q(x)&R(x))) |- Ax (P(x)->Q(x)),"
Prova:""""

1. Ax(P(x) -> (Q(x) & R(x))) pre
2. { a
3.   { P(a) hip
4.     P(a) -> (Q(a) & R(a)) Ae 1
5.     Q(a) & R(a) ->e 4,3
6.     Q(a) &e 5
}
7.   P(a) -> Q(a) ->i 3-6
}
8. Ax(P(x) -> Q(x)) Ai 2-7

""""
"
Ex P(x)|Ex Q(x) |- Ex (P(x)|Q(x)),"
Prova:""""

1. Ex P(x) | Ex Q(x) pre
2. { Ex P(x) hip
3.   { a P(a) hip
4.     P(a) | Q(a) |i 3
5.     Ex(P(x) | Q(x)) Ei 4
}
6.   Ex(P(x) | Q(x)) Ee 2, 3-5
}
7. { Ex Q(x) hip
8.   { b Q(b) hip
9.     P(b) | Q(b) |i 8
10.    Ex(P(x) | Q(x)) Ei 9
}
11.  Ex(P(x) | Q(x)) Ee 7, 8-10
}
12. Ex(P(x) | Q(x)) |e 1, 2-6, 7-11

""""
"
Ax P(x)&Ax Q(x) |- Ax (P(x)&Q(x)),"
Prova:""""

1. Ax P(x) & Ax Q(x) pre
2. Ax P(x) &e 1
3. Ax Q(x) &e 1
4. { a
5.   P(a) Ae 2
6.   Q(a) Ae 3
7.   P(a) & Q(a) &i 5,6
}
8. Ax (P(x) & Q(x)) Ai 4-7

""""
"
|- ~(A|B)->(~A&~B),"
Prova:""""

1. { ~(A | B) hip

2.   { A hip

3.     A | B |i 2

4.     @ ~e 3, 1

    }

5.   ~A ~i 2-4

6.   { B hip

7.     A | B |i 6

8.     @ ~e 7, 1

    }

9.   ~B ~i 6-8

10. ~A & ~B &i 5, 9

  }

11. ~(A | B) -> (~A & ~B) ->i 1-10

""""
"
|- (A&B)->~(~A|~B),"
Prova:""""

1. { A & B hip

2.   { ~A | ~B hip

3.     { ~A hip

4.       A &e 1

5.       @ ~e 4, 3

      }

6.     { ~B hip

7.       B &e 1

8.       @ ~e 7, 6

      }

9.     @ |e 2, 3-5, 6-8

    }

10.  ~(~A | ~B) ~i 2-9

  }

11. (A & B) -> ~(~A | ~B) ->i 1-10

""""
"
(A|B)->(C&D) |- (A->C)&(B->D),"
Prova:""""

1. (A | B) -> (C & D) pre
2. { A hip
3. A | B |i 2
4. C & D ->e 3,1
5. C &e 4
}
6. A -> C ->i 2-5
7. { B hip
8. A | B |i 7
9. C & D ->e 8,1
10. D &e 9
}
11. B -> D ->i 7-10
12. (A -> C) & (B -> D) &i 6,11

""""
"
A->(B&C) |- (A->B)&(A->C),"
Prova:""""

1. A -> (B & C) pre
2. { A hip
3. B & C ->e 2,1
4. B &e 3
}
5. A -> B ->i 2-4
6. { A hip
7. B & C ->e 6,1
8. C &e 7
}
9. A -> C ->i 6-8
10. (A -> B) & (A -> C) &i 5,9

""""
"
(A|B)&(A->C) |- C|B,"
Prova:""""

1. (A | B) & (A -> C) pre
2. A | B &e 1
3. A -> C &e 1
4. { A hip
5. C ->e 4,3
6. C | B |i 5
}
7. { B hip
8. C | B |i 7
}
9. C | B |e 2, 4-6, 7-8

""""
"
(A->B)&(~A->B) |- B,"
Prova:""""

1. (A -> B) & (~A -> B) pre
2. A -> B &e 1
3. ~A -> B &e 1
4. { ~(A | ~A) hip
5. { A hip
6. A | ~A |i 5
7. @ ~e 6,4
}
8. ~A ~i 5-7
9. A | ~A |i 8
10. @ ~e 9,4
}
11. A | ~A raa 4-10
12. { A hip
13. B ->e 12,2
}
14. { ~A hip
15. B ->e 14,3
}
16. B |e 11, 12-13, 14-15

""""
"
|- A->(A|B),"
Prova:""""

1. { A                  hip

2.   A | B             |i 1

}

3. A -> (A | B)        ->i 1-2

""""
"
|- ~A|A,"
Prova:""""

1. { ~(~A | A)         hip

2.   { ~A              hip

3.     ~A | A          |i 2

4.     @              ~e 3,1

}

5.   A                raa 2-4

6.   ~A | A          |i 5

7.   @              ~e 6,1

}

8. ~A | A            raa 1-7

""""
"
|- (A->~A)->~A,"
Prova:""""

1. { A -> ~A           hip

2.   { A                hip

3.     ~A              ->e 2,1

4.     @              ~e 2,3

}

5.   ~A              ~i 2-4

}

6. (A -> ~A) -> ~A     ->i 1-5

""""
"
"A, A->B |- B","
Prova:""""

1. A                  pre

2. A -> B             pre

3. B                  ->e 1,2

""""
"
A |- A&A,"
Prova:""""

1. A                  pre

2. A                  copie 1

3. A & A              &i 1,2

""""
"
|- (~A->A)->A,"
Prova:""""

1. { ~A -> A          hip

2.   { ~A              hip

3.     A              ->e 2,1
4.     @		~e 2,3

}

5.   A                raa 2-4

}

6. (~A -> A) -> A      ->i 1-5

""""
"
|- ~(A&~A),"
Prova:""""

1.{ A & ~A hip
2.A &e 1
3.~A &e 1
4.@ ~e 2,3
}
5.~(A & ~A) ~i 1-4

""""
"
"A->B, ~A->B, A|~A |- B","
Prova:""""

1.A -> B pre
2.~A -> B pre
3.A | ~A  pre
4.{ A hip
5.B ->e 4,1
}
6.{ ~A hip
7.B ->e 6,2
}
8.B |e 3,4-5, 6-7

""""
"
|- (~A|B)->(A->B),"
Prova:""""

1.{ ~A | B hip
2.{ A hip
3.{ ~A hip
4.@ ~e 2,3
5.B @e 4
}
6.{ B hip
7.B copie 6
}
8.B |e 1, 3-5, 6-7
}
9.A -> B ->i 2-8
}
10.(~A | B) -> (A -> B) ->i 1-9

""""
"
|- A->(~B->~(A&B)),"
Prova:""""

1.{ A hip
2.{ ~B hip
3.{ A & B hip
4.A &e 3
5.B &e 3
6.@ ~e 5,2
}
7.~(A & B) ~i 3-6
}
8.~B -> ~(A & B) ->i 2-7
}
9.A -> (~B -> ~(A & B)) ->i 1-8

""""
"
|- ((A&B)->C)->(A->(B->C)),"
Prova:""""

1.{ (A & B) -> C hip
2.{ A hip
3.{ B hip
4.A & B &i 2,3
5.C ->e 4,1
}
6.B -> C ->i 3-5
}
7.A -> (B -> C) ->i 2-6
}
8.((A & B) -> C) -> (A -> (B -> C)) ->i 1-7

""""
"
~A|A |- A|(A->B),"
Prova:""""

1. ~A | A pre
2.{ ~A hip
3.{ A hip
4.@ ~e 3,2
5.B @e 4
}
6.A -> B ->i 3-5
7.A | (A -> B) |i 6
}
8.{ A hip
9.A | (A -> B) |i 8
}
10.A | (A -> B) |e 1,2-7, 8-9

""""
"
|- ~A->(A->B),"
Prova:""""

1. {~A hip
2. {A hip
3. @ ~e 1,2
4. B @e 3
}
5. A -> B ->i 2-4
}
6. ~A -> (A -> B) ->i 1-5

""""
"
|- (A|~B)->(~A->~B),"
Prova:""""

1. { A | ~B hip
2. {~A hip
3. {A hip
4. ~A copie 2
5. @ ~e 3,4
6. ~B @e 5
}
7. {~B hip
8. ~B copie 7
}
9. ~B |e 1,3-6,7-8
}
10. ~A -> ~B  ->i 2-9
}
11. (A | ~B) -> (~A -> ~B) ->i 1-10

""""
"
|- ~(A&B)->(A->~B),"
Prova:""""

1. {~(A & B) hip
2. {A hip
3. {B hip
4. A & B &i 2,3
5. @ ~e 1,4
}
6. ~B ~i 3-5
}
7. A -> ~B ->i 2-6
}
8. ~(A & B) -> (A -> ~B) ->i 1-7

""""
"
|- (A->(B|C))->((A&~B)->C),"
Prova:""""

1.{ A -> (B | C) hip
2.{ A & ~B hip
3. A &e 2
4. B | C ->e 1,3
5. {B hip
6. ~B &e 2
7. @ ~e 5,6
8. C @e 7
}
9.{ C hip
10. C copie 9
}
11. C |e 4,5-8,9-10
}
12. (A & ~B) -> C ->i 2-11
}
13. (A -> (B | C)) -> ((A & ~B) -> C) ->i 1-12

""""
"
